0;1;2
C1::mupriscila;1;
C1::mupriscila;2;
C1::mupriscila;3;
C1::mupriscila;4;
C1::mupriscila;5;
C1::mupriscila;6;
C1::mupriscila;7;
C1::mupriscila;8;
C1::ricardo;1;
C1::ricardo;2;
C1::ricardo;3;
C1::ricardo;4;
C1::ricardo;5;
C1::ricardo;6;
C1::ricardo;7;
C1::ricardo;8;
C1.01.07::pcrodrigo;1;80.84
C1.01.07::pcrodrigo;2;81.32
C1.01.07::pcrodrigo;3;100.27
C1.01.07::pcrodrigo;4;98.87
C1.01.07::pcrodrigo;5;96.21
C1.01.07::pcrodrigo;6;93.79
C1.01.07::pcrodrigo;7;43.83
C1.01.07::pcrodrigo;8;
C1.04.01::cfernanda;1;
C1.04.01::cfernanda;2;
C1.04.01::cfernanda;3;
C1.04.01::cfernanda;4;
C1.04.01::cfernanda;5;
C1.04.01::cfernanda;6;
C1.04.01::cfernanda;7;
C1.04.01::cfernanda;8;
C1.04.01::njosiane;1;52.69
C1.04.01::njosiane;2;52.71
C1.04.01::njosiane;3;51.95
C1.04.01::njosiane;4;49.8
C1.04.01::njosiane;5;71.9
C1.04.01::njosiane;6;46.7
C1.04.01::njosiane;7;0.0
C1.04.01::njosiane;8;
C1.04.01::OP001ccelso;1;
C1.04.01::OP001ccelso;2;
C1.04.01::OP001ccelso;3;
C1.04.01::OP001ccelso;4;
C1.04.01::OP001ccelso;5;
C1.04.01::OP001ccelso;6;
C1.04.01::OP001ccelso;7;
C1.04.01::OP001ccelso;8;
C1.04.01.03::sdaiane;1;56.0
C1.04.01.03::sdaiane;2;56.0
C1.04.01.03::sdaiane;3;56.0
C1.04.01.03::sdaiane;4;56.0
C1.04.01.03::sdaiane;5;79.95
C1.04.01.03::sdaiane;6;56.0
C1.04.01.03::sdaiane;7;
C1.04.01.03::sdaiane;8;
C1.04.01.02::pgustavo;1;40.0
C1.04.01.02::pgustavo;2;58.67
C1.04.01.02::pgustavo;3;58.0
C1.04.01.02::pgustavo;4;77.33
C1.04.01.02::pgustavo;5;77.33
C1.04.01.02::pgustavo;6;95.81
C1.04.01.02::pgustavo;7;
C1.04.01.02::pgustavo;8;
C1.04.01.01::candrey;1;
C1.04.01.01::candrey;2;
C1.04.01.01::candrey;3;
C1.04.01.01::candrey;4;
C1.04.01.01::candrey;5;
C1.04.01.01::candrey;6;
C1.04.01.01::candrey;7;
C1.04.01.01::candrey;8;
C1.04.01.01::svictor;1;
C1.04.01.01::svictor;2;
C1.04.01.01::svictor;3;
C1.04.01.01::svictor;4;
C1.04.01.01::svictor;5;
C1.04.01.01::svictor;6;
C1.04.01.01::svictor;7;
C1.04.01.01::svictor;8;
C1.01.07.02::sguilherme;1;
C1.01.07.02::sguilherme;2;
C1.01.07.02::sguilherme;3;
C1.01.07.02::sguilherme;4;
C1.01.07.02::sguilherme;5;
C1.01.07.02::sguilherme;6;
C1.01.07.02::sguilherme;7;
C1.01.07.02::sguilherme;8;
C1.01.07.01::lrichard;1;
C1.01.07.01::lrichard;2;
C1.01.07.01::lrichard;3;
C1.01.07.01::lrichard;4;
C1.01.07.01::lrichard;5;
C1.01.07.01::lrichard;6;
C1.01.07.01::lrichard;7;
C1.01.07.01::lrichard;8;
C1.01.08::gmarco;1;
C1.01.08::gmarco;2;
C1.01.08::gmarco;3;
C1.01.08::gmarco;4;
C1.01.08::gmarco;5;
C1.01.08::gmarco;6;
C1.01.08::gmarco;7;
C1.01.08::gmarco;8;
C1.01.09::gfernanda;1;97.88
C1.01.09::gfernanda;2;98.75
C1.01.09::gfernanda;3;111.82
C1.01.09::gfernanda;4;92.54
C1.01.09::gfernanda;5;82.73
C1.01.09::gfernanda;6;80.86
C1.01.09::gfernanda;7;59.72
C1.01.09::gfernanda;8;
C1.04.12::jednaldo;1;74.17
C1.04.12::jednaldo;2;50.92
C1.04.12::jednaldo;3;77.66
C1.04.12::jednaldo;4;54.75
C1.04.12::jednaldo;5;36.05
C1.04.12::jednaldo;6;36.83
C1.04.12::jednaldo;7;
C1.04.12::jednaldo;8;
C1.04.12.1::audit.vago;1;36.07
C1.04.12.1::audit.vago;2;33.54
C1.04.12.1::audit.vago;3;33.45
C1.04.12.1::audit.vago;4;31.9
C1.04.12.1::audit.vago;5;31.01
C1.04.12.1::audit.vago;6;28.98
C1.04.12.1::audit.vago;7;
C1.04.12.1::audit.vago;8;
C1.04.14::scliviane;1;78.1
C1.04.14::scliviane;2;59.73
C1.04.14::scliviane;3;59.16
C1.04.14::scliviane;4;58.3
C1.04.14::scliviane;5;58.43
C1.04.14::scliviane;6;58.76
C1.04.14::scliviane;7;
C1.04.14::scliviane;8;
C1.04.13::sdaniela;1;23.25
C1.04.13::sdaniela;2;23.0
C1.04.13::sdaniela;3;23.42
C1.04.13::sdaniela;4;21.69
C1.04.13::sdaniela;5;21.85
C1.04.13::sdaniela;6;21.96
C1.04.13::sdaniela;7;
C1.04.13::sdaniela;8;
C1.04.16::SKauany;1;
C1.04.16::SKauany;2;
C1.04.16::SKauany;3;
C1.04.16::SKauany;4;
C1.04.16::SKauany;5;
C1.04.16::SKauany;6;
C1.04.16::SKauany;7;
C1.04.16::SKauany;8;
C1.03.10.30::rjanaina;1;100.0
C1.03.10.30::rjanaina;2;100.0
C1.03.10.30::rjanaina;3;100.0
C1.03.10.30::rjanaina;4;100.0
C1.03.10.30::rjanaina;5;100.0
C1.03.10.30::rjanaina;6;100.0
C1.03.10.30::rjanaina;7;
C1.03.10.30::rjanaina;8;
C1.03.10.35::rmauricio;1;74.47
C1.03.10.35::rmauricio;2;71.73
C1.03.10.35::rmauricio;3;85.4
C1.03.10.35::rmauricio;4;79.81
C1.03.10.35::rmauricio;5;76.82
C1.03.10.35::rmauricio;6;75.36
C1.03.10.35::rmauricio;7;
C1.03.10.35::rmauricio;8;
C1.03.10.36::pfabio;1;65.59
C1.03.10.36::pfabio;2;66.07
C1.03.10.36::pfabio;3;80.18
C1.03.10.36::pfabio;4;80.9
C1.03.10.36::pfabio;5;81.07
C1.03.10.36::pfabio;6;81.29
C1.03.10.36::pfabio;7;17.84
C1.03.10.36::pfabio;8;17.84
C1.03.09.03.01::gdiogo;1;75.98
C1.03.09.03.01::gdiogo;2;79.61
C1.03.09.03.01::gdiogo;3;104.0
C1.03.09.03.01::gdiogo;4;104.75
