0;1
C1.03.02.03.01::MKT_028::2023/1;PSBE
C1.03.02.03.01::MKT_028::2023/2;PSBE
C1.03.02.03.01::MKT_028::2023/3;PSBE
C1.03.02.03.01::MKT_028::2023/4;PSBE
C1.03.02.03.01::MKT_028::2023/5;PSBE
C1.03.02.03.01::MKT_028::2023/6;PSBE
C1.03.02.03.01::MKT_028::2023/7;PSBE
C1.03.02.03.01::MKT_028::2023/8;PSBE
C1.03.02.03.01::MKT_028::2023/9;PSBE
C1.03.02.03.01::MKT_028::2023/10;PSBE
C1.03.02.03.01::MKT_028::2023/11;PSBE
C1.03.02.03.01::MKT_028::2023/12;PSBE
C1.03.09.15::MKT_037::2023/1;PSJS
C1.03.09.15::MKT_037::2023/2;PSJS
C1.03.09.15::MKT_037::2023/3;PSJS
C1.03.09.15::MKT_037::2023/4;PSJS
C1.03.09.15::MKT_037::2023/5;PSJS
C1.03.09.15::MKT_037::2023/6;PSJS
C1.03.09.15::MKT_037::2023/7;PSJS
C1.03.09.15::MKT_037::2023/8;PSJS
C1.03.09.15::MKT_037::2023/9;PSJS
C1.03.09.15::MKT_037::2023/10;PSJS
C1.03.09.15::MKT_037::2023/11;PSJS
C1.03.09.15::MKT_037::2023/12;PSJS
C1.03.07.03.01::MKT_046::2023/1;PSRG
C1.03.07.03.01::MKT_046::2023/2;PSRG
C1.03.07.03.01::MKT_046::2023/3;PSRG
C1.03.07.03.01::MKT_046::2023/4;PSRG
C1.03.07.03.01::MKT_046::2023/5;PSRG
C1.03.07.03.01::MKT_046::2023/6;PSRG
C1.03.07.03.01::MKT_046::2023/7;PSRG
C1.03.07.03.01::MKT_046::2023/8;PSRG
C1.03.07.03.01::MKT_046::2023/9;PSRG
C1.03.07.03.01::MKT_046::2023/10;PSRG
C1.03.07.03.01::MKT_046::2023/11;PSRG
C1.03.07.03.01::MKT_046::2023/12;PSRG
C1.03.01.03.01::MKT_055::2023/1;PSSG
C1.03.01.03.01::MKT_055::2023/2;PSSG
C1.03.01.03.01::MKT_055::2023/3;PSSG
C1.03.01.03.01::MKT_055::2023/4;PSSG
C1.03.01.03.01::MKT_055::2023/5;PSSG
C1.03.01.03.01::MKT_055::2023/6;PSSG
C1.03.01.03.01::MKT_055::2023/7;PSSG
C1.03.01.03.01::MKT_055::2023/8;PSSG
C1.03.01.03.01::MKT_055::2023/9;PSSG
C1.03.01.03.01::MKT_055::2023/10;PSSG
C1.03.01.03.01::MKT_055::2023/11;PSSG
C1.03.01.03.01::MKT_055::2023/12;PSSG
C1.03.05.03.01::MKT_078::2023/1;PSMO
C1.03.05.03.01::MKT_078::2023/2;PSMO
C1.03.05.03.01::MKT_078::2023/3;PSMO
C1.03.05.03.01::MKT_078::2023/4;PSMO
C1.03.05.03.01::MKT_078::2023/5;PSMO
C1.03.05.03.01::MKT_078::2023/6;PSMO
C1.03.05.03.01::MKT_078::2023/7;PSMO
C1.03.05.03.01::MKT_078::2023/8;PSMO
C1.03.05.03.01::MKT_078::2023/9;PSMO
C1.03.05.03.01::MKT_078::2023/10;PSMO
C1.03.05.03.01::MKT_078::2023/11;PSMO
C1.03.05.03.01::MKT_078::2023/12;PSMO
C1.03.09.05::MKT_148::2023/1;PSAR
C1.03.09.05::MKT_148::2023/2;PSAR
C1.03.09.05::MKT_148::2023/3;PSAR
C1.03.09.05::MKT_148::2023/4;PSAR
C1.03.09.05::MKT_148::2023/5;PSAR
C1.03.09.05::MKT_148::2023/6;PSAR
C1.03.09.05::MKT_148::2023/7;PSAR
C1.03.09.05::MKT_148::2023/8;PSAR
C1.03.09.05::MKT_148::2023/9;PSAR
C1.03.09.05::MKT_148::2023/10;PSAR
C1.03.09.05::MKT_148::2023/11;PSAR
C1.03.09.05::MKT_148::2023/12;PSAR
C1.01.04.02::MKT_017::2023/1;Partage_ADM
C1.01.04.02::MKT_017::2023/2;Partage_ADM
C1.01.04.02::MKT_017::2023/3;Partage_ADM
C1.01.04.02::MKT_017::2023/4;Partage_ADM
C1.01.04.02::MKT_017::2023/5;Partage_ADM
C1.01.04.02::MKT_017::2023/6;Partage_ADM
C1.01.04.02::MKT_017::2023/7;Partage_ADM
C1.01.04.02::MKT_017::2023/8;Partage_ADM
C1.01.04.02::MKT_017::2023/9;Partage_ADM
C1.01.04.02::MKT_017::2023/10;Partage_ADM
C1.01.04.02::MKT_017::2023/11;Partage_ADM
C1.01.04.02::MKT_017::2023/12;Partage_ADM
C1.01.04.03::MKT_022::2023/1;Partage_ADM
C1.01.04.03::MKT_022::2023/2;Partage_ADM
C1.01.04.03::MKT_022::2023/3;Partage_ADM
C1.01.04.03::MKT_022::2023/4;Partage_ADM
C1.01.04.03::MKT_022::2023/5;Partage_ADM
C1.01.04.03::MKT_022::2023/6;Partage_ADM
C1.01.04.03::MKT_022::2023/7;Partage_ADM
C1.01.04.03::MKT_022::2023/8;Partage_ADM
C1.01.04.03::MKT_022::2023/9;Partage_ADM
C1.01.04.03::MKT_022::2023/10;Partage_ADM
C1.01.04.03::MKT_022::2023/11;Partage_ADM
C1.01.04.03::MKT_022::2023/12;Partage_ADM
C1.03.02.03.01::MKT_026::2023/1;PSBE
C1.03.02.03.01::MKT_026::2023/2;PSBE
C1.03.02.03.01::MKT_026::2023/3;PSBE
C1.03.02.03.01::MKT_026::2023/4;PSBE
C1.03.02.03.01::MKT_026::2023/5;PSBE
C1.03.02.03.01::MKT_026::2023/6;PSBE
C1.03.02.03.01::MKT_026::2023/7;PSBE
C1.03.02.03.01::MKT_026::2023/8;PSBE
C1.03.02.03.01::MKT_026::2023/9;PSBE
C1.03.02.03.01::MKT_026::2023/10;PSBE
C1.03.02.03.01::MKT_026::2023/11;PSBE
C1.03.02.03.01::MKT_026::2023/12;PSBE
C1.03.02.03.01::MKT_027::2023/1;PSBE
C1.03.02.03.01::MKT_027::2023/2;PSBE
C1.03.02.03.01::MKT_027::2023/3;PSBE
C1.03.02.03.01::MKT_027::2023/4;PSBE
C1.03.02.03.01::MKT_027::2023/5;PSBE
C1.03.02.03.01::MKT_027::2023/6;PSBE
C1.03.02.03.01::MKT_027::2023/7;PSBE
C1.03.02.03.01::MKT_027::2023/8;PSBE
C1.03.02.03.01::MKT_027::2023/9;PSBE
C1.03.02.03.01::MKT_027::2023/10;PSBE
C1.03.02.03.01::MKT_027::2023/11;PSBE
C1.03.02.03.01::MKT_027::2023/12;PSBE
C1.03.02.03.01::MKT_029::2023/1;PSBE
C1.03.02.03.01::MKT_029::2023/2;PSBE
C1.03.02.03.01::MKT_029::2023/3;PSBE
C1.03.02.03.01::MKT_029::2023/4;PSBE
C1.03.02.03.01::MKT_029::2023/5;PSBE
C1.03.02.03.01::MKT_029::2023/6;PSBE
C1.03.02.03.01::MKT_029::2023/7;PSBE
C1.03.02.03.01::MKT_029::2023/8;PSBE
C1.03.02.03.01::MKT_029::2023/9;PSBE
C1.03.02.03.01::MKT_029::2023/10;PSBE
C1.03.02.03.01::MKT_029::2023/11;PSBE
C1.03.02.03.01::MKT_029::2023/12;PSBE
C1.03.02.03.01::MKT_030::2023/1;PSBE
C1.03.02.03.01::MKT_030::2023/2;PSBE
C1.03.02.03.01::MKT_030::2023/3;PSBE
C1.03.02.03.01::MKT_030::2023/4;PSBE
C1.03.02.03.01::MKT_030::2023/5;PSBE
C1.03.02.03.01::MKT_030::2023/6;PSBE
C1.03.02.03.01::MKT_030::2023/7;PSBE
C1.03.02.03.01::MKT_030::2023/8;PSBE
C1.03.02.03.01::MKT_030::2023/9;PSBE
C1.03.02.03.01::MKT_030::2023/10;PSBE
C1.03.02.03.01::MKT_030::2023/11;PSBE
C1.03.02.03.01::MKT_030::2023/12;PSBE
C1.03.02.03.01.01::MKT_031::2023/1;PSBE
C1.03.02.03.01.01::MKT_031::2023/2;PSBE
C1.03.02.03.01.01::MKT_031::2023/3;PSBE
C1.03.02.03.01.01::MKT_031::2023/4;PSBE
C1.03.02.03.01.01::MKT_031::2023/5;PSBE
C1.03.02.03.01.01::MKT_031::2023/6;PSBE
C1.03.02.03.01.01::MKT_031::2023/7;PSBE
C1.03.02.03.01.01::MKT_031::2023/8;PSBE
C1.03.02.03.01.01::MKT_031::2023/9;PSBE
C1.03.02.03.01.01::MKT_031::2023/10;PSBE
C1.03.02.03.01.01::MKT_031::2023/11;PSBE
